Category,% of GDP,Region
Israel,5.8,EMEA
Korea,4.6,APAC
United States,3.5,Americas
Sweden,3.4,EMEA
Belgium,3.4,EMEA
Japan,3.3,APAC
Austria,3.3,EMEA
Switzerland,3.2,EMEA
Germany,3.1,EMEA
Finland,3.0,EMEA
United Kingdom,2.9,EMEA
Denmark,2.8,EMEA
Iceland,2.7,EMEA
Netherlands,2.2,EMEA
France,2.2,EMEA
Slovenia,2.1,EMEA
Czechia,1.9,EMEA
Norway,1.9,EMEA
Canada,1.9,Americas
Estonia,1.8,EMEA
Portugal,1.7,EMEA
Australia,1.7,APAC
Hungary,1.6,EMEA
New Zealand,1.5,APAC
Greece,1.4,EMEA
Poland,1.4,EMEA
Italy,1.4,EMEA
TÃ¼rkiye,1.4,EMEA
Spain,1.4,EMEA
Lithuania,1.1,EMEA
Ireland,1.1,EMEA
Luxembourg,1.0,EMEA
Slovak Rep.,0.9,EMEA
Latvia,0.8,EMEA
Chile,0.4,Americas
Costa Rica,0.3,Americas
