,Date,Industry,Number
0,Aug-06,Telecommunications Services,98200.0
1,Aug-06,Internet Service Providers and Web Search Portals,6600.0
2,Aug-06,Computer System Design and Related Services,122900.0
3,Nov-06,Telecommunications Services,97300.0
4,Nov-06,Internet Service Providers and Web Search Portals,8100.0
5,Nov-06,Computer System Design and Related Services,115900.0
6,Feb-07,Telecommunications Services,102000.0
7,Feb-07,Internet Service Providers and Web Search Portals,6000.0
8,Feb-07,Computer System Design and Related Services,110000.0
9,May-07,Telecommunications Services,101500.0
10,May-07,Internet Service Providers and Web Search Portals,6700.0
11,May-07,Computer System Design and Related Services,120300.0
12,Aug-07,Telecommunications Services,95900.0
13,Aug-07,Internet Service Providers and Web Search Portals,8800.0
14,Aug-07,Computer System Design and Related Services,129100.0
15,Nov-07,Telecommunications Services,94300.0
16,Nov-07,Internet Service Providers and Web Search Portals,8200.0
17,Nov-07,Computer System Design and Related Services,131100.0
18,Feb-08,Telecommunications Services,90000.0
19,Feb-08,Internet Service Providers and Web Search Portals,5100.0
20,Feb-08,Computer System Design and Related Services,126700.0
21,May-08,Telecommunications Services,91000.0
22,May-08,Internet Service Providers and Web Search Portals,5100.0
23,May-08,Computer System Design and Related Services,130000.0
24,Aug-08,Telecommunications Services,96000.0
25,Aug-08,Internet Service Providers and Web Search Portals,9100.0
26,Aug-08,Computer System Design and Related Services,141100.0
27,Nov-08,Telecommunications Services,89600.0
28,Nov-08,Internet Service Providers and Web Search Portals,7300.0
29,Nov-08,Computer System Design and Related Services,136100.0
30,Feb-09,Telecommunications Services,93900.0
31,Feb-09,Internet Service Providers and Web Search Portals,6200.0
32,Feb-09,Computer System Design and Related Services,144100.0
33,May-09,Telecommunications Services,93100.0
34,May-09,Internet Service Providers and Web Search Portals,4100.0
35,May-09,Computer System Design and Related Services,155400.0
36,Aug-09,Internet Publishing and Broadcasting,2800.0
37,Aug-09,Telecommunications Services,86500.0
38,Aug-09,Internet Service Providers and Web Search Portals,7000.0
39,Aug-09,Computer System Design and Related Services,159800.0
40,Nov-09,Internet Publishing and Broadcasting,1100.0
41,Nov-09,Telecommunications Services,90400.0
42,Nov-09,Internet Service Providers and Web Search Portals,4700.0
43,Nov-09,Computer System Design and Related Services,157600.0
44,Feb-10,Telecommunications Services,87900.0
45,Feb-10,Internet Service Providers and Web Search Portals,3600.0
46,Feb-10,Computer System Design and Related Services,159000.0
47,May-10,Internet Publishing and Broadcasting,1200.0
48,May-10,Telecommunications Services,90300.0
49,May-10,Internet Service Providers and Web Search Portals,5400.0
50,May-10,Computer System Design and Related Services,150200.0
51,Aug-10,Telecommunications Services,90400.0
52,Aug-10,Internet Service Providers and Web Search Portals,4600.0
53,Aug-10,Computer System Design and Related Services,163500.0
54,Nov-10,Internet Publishing and Broadcasting,1400.0
55,Nov-10,Telecommunications Services,87800.0
56,Nov-10,Internet Service Providers and Web Search Portals,3400.0
57,Nov-10,Computer System Design and Related Services,155400.0
58,Feb-11,Internet Publishing and Broadcasting,1400.0
59,Feb-11,Telecommunications Services,90000.0
60,Feb-11,Internet Service Providers and Web Search Portals,3700.0
61,Feb-11,Computer System Design and Related Services,167900.0
62,May-11,Internet Publishing and Broadcasting,3900.0
63,May-11,Telecommunications Services,92700.0
64,May-11,Internet Service Providers and Web Search Portals,5700.0
65,May-11,Computer System Design and Related Services,164100.0
66,Aug-11,Internet Publishing and Broadcasting,2000.0
67,Aug-11,Telecommunications Services,89200.0
68,Aug-11,Internet Service Providers and Web Search Portals,4300.0
69,Aug-11,Computer System Design and Related Services,169700.0
70,Nov-11,Telecommunications Services,81200.0
71,Nov-11,Internet Service Providers and Web Search Portals,4600.0
72,Nov-11,Computer System Design and Related Services,178400.0
73,Feb-12,Telecommunications Services,83900.0
74,Feb-12,Internet Service Providers and Web Search Portals,4500.0
75,Feb-12,Computer System Design and Related Services,178300.0
76,May-12,Telecommunications Services,96700.0
77,May-12,Internet Service Providers and Web Search Portals,4800.0
78,May-12,Computer System Design and Related Services,182300.0
79,Aug-12,Internet Publishing and Broadcasting,2300.0
80,Aug-12,Telecommunications Services,101900.0
81,Aug-12,Internet Service Providers and Web Search Portals,3200.0
82,Aug-12,Computer System Design and Related Services,177700.0
83,Nov-12,Telecommunications Services,98300.0
84,Nov-12,Internet Service Providers and Web Search Portals,3700.0
85,Nov-12,Computer System Design and Related Services,180400.0
86,Feb-13,Telecommunications Services,88800.0
87,Feb-13,Internet Service Providers and Web Search Portals,2400.0
88,Feb-13,Computer System Design and Related Services,178200.0
89,May-13,Telecommunications Services,102000.0
90,May-13,Internet Service Providers and Web Search Portals,6500.0
91,May-13,Computer System Design and Related Services,178400.0
92,Aug-13,Telecommunications Services,87100.0
93,Aug-13,Internet Service Providers and Web Search Portals,3200.0
94,Aug-13,Computer System Design and Related Services,185600.0
95,Nov-13,Internet Publishing and Broadcasting,1500.0
96,Nov-13,Telecommunications Services,76300.0
97,Nov-13,Internet Service Providers and Web Search Portals,3000.0
98,Nov-13,Computer System Design and Related Services,168200.0
99,Feb-14,Internet Publishing and Broadcasting,1200.0
100,Feb-14,Telecommunications Services,91200.0
101,Feb-14,Internet Service Providers and Web Search Portals,3300.0
102,Feb-14,Computer System Design and Related Services,178900.0
103,May-14,Telecommunications Services,97000.0
104,May-14,Internet Service Providers and Web Search Portals,1900.0
105,May-14,Computer System Design and Related Services,179300.0
106,Aug-14,Telecommunications Services,102700.0
107,Aug-14,Internet Service Providers and Web Search Portals,2600.0
108,Aug-14,Computer System Design and Related Services,202000.0
109,Nov-14,Internet Publishing and Broadcasting,2400.0
110,Nov-14,Telecommunications Services,94100.0
111,Nov-14,Internet Service Providers and Web Search Portals,4400.0
112,Nov-14,Computer System Design and Related Services,183200.0
113,Feb-15,Internet Publishing and Broadcasting,1800.0
114,Feb-15,Telecommunications Services,88200.0
115,Feb-15,Internet Service Providers and Web Search Portals,4300.0
116,Feb-15,Computer System Design and Related Services,185500.0
117,May-15,Internet Publishing and Broadcasting,1800.0
118,May-15,Telecommunications Services,97600.0
119,May-15,Internet Service Providers and Web Search Portals,2800.0
120,May-15,Computer System Design and Related Services,203900.0
121,Aug-15,Internet Publishing and Broadcasting,1700.0
122,Aug-15,Telecommunications Services,92200.0
123,Aug-15,Internet Service Providers and Web Search Portals,8000.0
124,Aug-15,Computer System Design and Related Services,203100.0
125,Nov-15,Telecommunications Services,98800.0
126,Nov-15,Internet Service Providers and Web Search Portals,4500.0
127,Nov-15,Computer System Design and Related Services,191100.0
128,Feb-16,Internet Publishing and Broadcasting,1800.0
129,Feb-16,Telecommunications Services,93100.0
130,Feb-16,Internet Service Providers and Web Search Portals,9700.0
131,Feb-16,Computer System Design and Related Services,190900.0
132,May-16,Telecommunications Services,89900.0
133,May-16,Internet Service Providers and Web Search Portals,7200.0
134,May-16,Computer System Design and Related Services,206400.0
135,Aug-16,Internet Publishing and Broadcasting,800.0
136,Aug-16,Telecommunications Services,100600.0
137,Aug-16,Internet Service Providers and Web Search Portals,2600.0
138,Aug-16,Computer System Design and Related Services,214100.0
139,Nov-16,Internet Publishing and Broadcasting,1500.0
140,Nov-16,Telecommunications Services,99000.0
141,Nov-16,Internet Service Providers and Web Search Portals,4200.0
142,Nov-16,Computer System Design and Related Services,206200.0
143,Feb-17,Internet Publishing and Broadcasting,2200.0
144,Feb-17,Telecommunications Services,89200.0
145,Feb-17,Internet Service Providers and Web Search Portals,3600.0
146,Feb-17,Computer System Design and Related Services,212600.0
147,May-17,Internet Publishing and Broadcasting,1500.0
148,May-17,Telecommunications Services,100200.0
149,May-17,Internet Service Providers and Web Search Portals,1700.0
150,May-17,Computer System Design and Related Services,227500.0
151,Aug-17,Telecommunications Services,95600.0
152,Aug-17,Internet Service Providers and Web Search Portals,5900.0
153,Aug-17,Computer System Design and Related Services,230400.0
154,Nov-17,Internet Publishing and Broadcasting,1000.0
155,Nov-17,Telecommunications Services,88600.0
156,Nov-17,Internet Service Providers and Web Search Portals,3900.0
157,Nov-17,Computer System Design and Related Services,227500.0
158,Feb-18,Telecommunications Services,98600.0
159,Feb-18,Internet Service Providers and Web Search Portals,2400.0
160,Feb-18,Computer System Design and Related Services,235100.0
161,May-18,Internet Publishing and Broadcasting,1900.0
162,May-18,Telecommunications Services,103100.0
163,May-18,Internet Service Providers and Web Search Portals,2800.0
164,May-18,Computer System Design and Related Services,246200.0
165,Aug-18,Telecommunications Services,104400.0
166,Aug-18,Internet Service Providers and Web Search Portals,4600.0
167,Aug-18,Computer System Design and Related Services,277700.0
168,Nov-18,Internet Publishing and Broadcasting,2500.0
169,Nov-18,Telecommunications Services,99700.0
170,Nov-18,Internet Service Providers and Web Search Portals,2200.0
171,Nov-18,Computer System Design and Related Services,227800.0
172,Feb-19,Internet Publishing and Broadcasting,3500.0
173,Feb-19,Telecommunications Services,96500.0
174,Feb-19,Internet Service Providers and Web Search Portals,4700.0
175,Feb-19,Computer System Design and Related Services,246900.0
176,May-19,Telecommunications Services,92500.0
177,May-19,Internet Service Providers and Web Search Portals,7200.0
178,May-19,Computer System Design and Related Services,247500.0
179,Aug-19,Internet Publishing and Broadcasting,1900.0
180,Aug-19,Telecommunications Services,90900.0
181,Aug-19,Internet Service Providers and Web Search Portals,4400.0
182,Aug-19,Computer System Design and Related Services,253600.0
183,Nov-19,Internet Publishing and Broadcasting,700.0
184,Nov-19,Telecommunications Services,90600.0
185,Nov-19,Internet Service Providers and Web Search Portals,6700.0
186,Nov-19,Computer System Design and Related Services,243600.0
187,Feb-20,Telecommunications Services,90300.0
188,Feb-20,Internet Service Providers and Web Search Portals,4500.0
189,Feb-20,Computer System Design and Related Services,268500.0
190,May-20,Internet Publishing and Broadcasting,1200.0
191,May-20,Telecommunications Services,85100.0
192,May-20,Internet Service Providers and Web Search Portals,6100.0
193,May-20,Computer System Design and Related Services,265800.0
194,Aug-20,Internet Publishing and Broadcasting,3700.0
195,Aug-20,Telecommunications Services,84800.0
196,Aug-20,Internet Service Providers and Web Search Portals,5300.0
197,Aug-20,Computer System Design and Related Services,275200.0
198,Nov-20,Internet Publishing and Broadcasting,2300.0
199,Nov-20,Telecommunications Services,85700.0
200,Nov-20,Internet Service Providers and Web Search Portals,5300.0
201,Nov-20,Computer System Design and Related Services,285300.0
202,Feb-21,Internet Publishing and Broadcasting,3900.0
203,Feb-21,Telecommunications Services,81800.0
204,Feb-21,Internet Service Providers and Web Search Portals,4700.0
205,Feb-21,Computer System Design and Related Services,296500.0
206,May-21,Internet Publishing and Broadcasting,1800.0
207,May-21,Telecommunications Services,80100.0
208,May-21,Internet Service Providers and Web Search Portals,1400.0
209,May-21,Computer System Design and Related Services,300100.0
210,Aug-21,Telecommunications Services,67400.0
211,Aug-21,Internet Service Providers and Web Search Portals,6300.0
212,Aug-21,Computer System Design and Related Services,282600.0
213,Nov-21,Telecommunications Services,77300.0
214,Nov-21,Internet Service Providers and Web Search Portals,4200.0
215,Nov-21,Computer System Design and Related Services,304100.0
216,Feb-22,Telecommunications Services,86400.0
217,Feb-22,Internet Service Providers and Web Search Portals,3900.0
218,Feb-22,Computer System Design and Related Services,318400.0
219,May-22,Internet Publishing and Broadcasting,2300.0
220,May-22,Telecommunications Services,84000.0
221,May-22,Internet Service Providers and Web Search Portals,4800.0
222,May-22,Computer System Design and Related Services,319600.0
223,Aug-22,Internet Publishing and Broadcasting,4700.0
224,Aug-22,Telecommunications Services,82600.0
225,Aug-22,Internet Service Providers and Web Search Portals,1700.0
226,Aug-22,Computer System Design and Related Services,360900.0
227,Nov-22,Internet Publishing and Broadcasting,3200.0
228,Nov-22,Telecommunications Services,75500.0
229,Nov-22,Internet Service Providers and Web Search Portals,1300.0
230,Nov-22,Computer System Design and Related Services,381600.0
231,Feb-23,Internet Publishing and Broadcasting,1800.0
232,Feb-23,Telecommunications Services,79200.0
233,Feb-23,Internet Service Providers and Web Search Portals,4500.0
234,Feb-23,Computer System Design and Related Services,341800.0
235,May-23,Telecommunications Services,85300.0
236,May-23,Internet Service Providers and Web Search Portals,4800.0
237,May-23,Computer System Design and Related Services,329100.0
238,Aug-23,Internet Publishing and Broadcasting,6100.0
239,Aug-23,Telecommunications Services,73900.0
240,Aug-23,Internet Service Providers and Web Search Portals,6200.0
241,Aug-23,Computer System Design and Related Services,340400.0
242,Nov-23,Internet Publishing and Broadcasting,2000.0
243,Nov-23,Telecommunications Services,76100.0
244,Nov-23,Internet Service Providers and Web Search Portals,6400.0
245,Nov-23,Computer System Design and Related Services,348400.0
246,Feb-24,Internet Publishing and Broadcasting,3400.0
247,Feb-24,Telecommunications Services,73900.0
248,Feb-24,Internet Service Providers and Web Search Portals,4300.0
249,Feb-24,Computer System Design and Related Services,343200.0
250,May-24,Internet Publishing and Broadcasting,3500.0
251,May-24,Telecommunications Services,90900.0
252,May-24,Internet Service Providers and Web Search Portals,6500.0
253,May-24,Computer System Design and Related Services,352100.0
254,Aug-24,Internet Publishing and Broadcasting,1500.0
255,Aug-24,Telecommunications Services,74100.0
256,Aug-24,Internet Service Providers and Web Search Portals,5300.0
257,Aug-24,Computer System Design and Related Services,355400.0
258,Nov-24,Internet Publishing and Broadcasting,5800.0
259,Nov-24,Telecommunications Services,71300.0
260,Nov-24,Internet Service Providers and Web Search Portals,2900.0
261,Nov-24,Computer System Design and Related Services,341300.0
262,Feb-25,Internet Publishing and Broadcasting,5600.0
263,Feb-25,Telecommunications Services,66400.0
264,Feb-25,Internet Service Providers and Web Search Portals,5300.0
265,Feb-25,Computer System Design and Related Services,313200.0
266,Aug-06,Total,227700.0
267,Aug-07,Total,233800.0
268,Aug-08,Total,246200.0
269,Aug-09,Total,256100.0
270,Aug-10,Total,258500.0
271,Aug-11,Total,265200.0
272,Aug-12,Total,285100.0
273,Aug-13,Total,275900.0
274,Aug-14,Total,307300.0
275,Aug-15,Total,305000.0
276,Aug-16,Total,318100.0
277,Aug-17,Total,331900.0
278,Aug-18,Total,386700.0
279,Aug-19,Total,350800.0
280,Aug-20,Total,369000.0
281,Aug-21,Total,356300.0
282,Aug-22,Total,449900.0
283,Aug-23,Total,426600.0
284,Aug-24,Total,436300.0
285,Feb-07,Total,218000.0
286,Feb-08,Total,221800.0
287,Feb-09,Total,244200.0
288,Feb-10,Total,250500.0
289,Feb-11,Total,263000.0
290,Feb-12,Total,266700.0
291,Feb-13,Total,269400.0
292,Feb-14,Total,274600.0
293,Feb-15,Total,279800.0
294,Feb-16,Total,295500.0
295,Feb-17,Total,307600.0
296,Feb-18,Total,336100.0
297,Feb-19,Total,351600.0
298,Feb-20,Total,363300.0
299,Feb-21,Total,386900.0
300,Feb-22,Total,408700.0
301,Feb-23,Total,427300.0
302,Feb-24,Total,424800.0
303,Feb-25,Total,390500.0
304,May-07,Total,228500.0
305,May-08,Total,226100.0
306,May-09,Total,252600.0
307,May-10,Total,247100.0
308,May-11,Total,266400.0
309,May-12,Total,283800.0
310,May-13,Total,286900.0
311,May-14,Total,278200.0
312,May-15,Total,306100.0
313,May-16,Total,303500.0
314,May-17,Total,330900.0
315,May-18,Total,354000.0
316,May-19,Total,347200.0
317,May-20,Total,358200.0
318,May-21,Total,383400.0
319,May-22,Total,410700.0
320,May-23,Total,419200.0
321,May-24,Total,453000.0
322,Nov-06,Total,221300.0
323,Nov-07,Total,233600.0
324,Nov-08,Total,233000.0
325,Nov-09,Total,253800.0
326,Nov-10,Total,248000.0
327,Nov-11,Total,264200.0
328,Nov-12,Total,282400.0
329,Nov-13,Total,249000.0
330,Nov-14,Total,284100.0
331,Nov-15,Total,294400.0
332,Nov-16,Total,310900.0
333,Nov-17,Total,321000.0
334,Nov-18,Total,332200.0
335,Nov-19,Total,341600.0
336,Nov-20,Total,378600.0
337,Nov-21,Total,385600.0
338,Nov-22,Total,461600.0
339,Nov-23,Total,432900.0
340,Nov-24,Total,421300.0
